rank,company_name,industry,sub_industry,bbd_qyxx_id
16,横店集团东磁股份有限公司,新材料,新型无机非金属材料,5a0082f6406841cab0c3a41b242449e9
16,恒生电子股份有限公司,新一代信息技术,云计算,2f8263e8e8504b609b3a59bcef92a1b4
16,北京碧水源科技股份有限公司,新材料,先进高分子材料,611264e4db5943bda79fa00c15dbc53d
16,广西桂冠电力股份有限公司,新能源,风电,37c329a0daa84eebb0a67c9d49c16f81
16,潍柴控股集团有限公司,新能源,氢能,420bd2b2ef3a4516a7f1887bc94f7ea7
16,中电科电子装备集团有限公司,新能源,光伏,f1f9c7e1f9db4e70ad4bd2302fedecfc
17,博深股份有限公司,新材料,特种金属功能材料,811bf903fce541e48055d85a9402a900
17,北京三聚环保新材料股份有限公司,新材料,先进高分子材料,54897b5ebef04bdc995f363ee344c5b1
17,安徽安科生物工程（集团）股份有限公司,新材料,前沿新材料,28732f76327d43bdbad5b27bfb1b54ce
17,杭州福斯特应用材料股份有限公司,新能源,光伏,f2b7785212e043e696e3830653ebd500
17,中国第一汽车股份有限公司,新能源,氢能,3a14c7c4778841f6b8000912a94d939d
17,上海泰胜风能装备股份有限公司,新能源,风电,3f22ddacf9cd4a3ebc777594eadfa858
17,江苏国泰国际集团股份有限公司,新材料,新型无机非金属材料,4262f45000e54096a97750f8cccff696
17,和舰芯片制造（苏州）股份有限公司,新一代信息技术,集成电路,b52c6dd7469a4e1dbda48c2f58b6bbad
17,中国平安保险（集团）股份有限公司,新一代信息技术,云计算,6f5bbad2d5564fd5a4e1b288c9bfbf90
17,上海丰华（集团）股份有限公司,新材料,高端金属结构材料,faf332dd2b444bf89ca9f562b8fc5344
18,温州创新新材料股份有限公司,新材料,先进高分子材料,c400e7349e254d9cbc152c1a0a2d073f
18,中节能太阳能股份有限公司,新能源,光伏,c07b3593f2d2445f9376cbc55e9236af
18,北京华胜天成科技股份有限公司,新一代信息技术,云计算,46884c6c91fb4f6ebeb007c8c0f11fcb
18,江苏华信新材料股份有限公司,新材料,前沿新材料,bc789990973d44b7aa251be5e264ec71
18,内蒙古伊泰集团有限公司,新能源,氢能,d57f14351a9f4b138fa3bcabc4c1155b
18,北京智芯微电子科技有限公司,新一代信息技术,集成电路,4c5998422a684f2d965f4481cdd981cc
18,华仪电气股份有限公司,新能源,风电,8c83bc8de2544af28717fa86319ec0d8
18,天润工业技术股份有限公司,新材料,特种金属功能材料,5694623fcf154927bc68962c9747ddac
18,浙江莱宝科技有限公司,新材料,新型无机非金属材料,f9746fe4a4534cd4807b8b982559f665
18,浙江久立特材科技股份有限公司,新材料,高端金属结构材料,158c0ccfd4ad4a07a785f9d9738b3d5f
19,上海爱旭新能源股份有限公司,新能源,光伏,a93dfdbe15404d8a8918c05249d99962
19,焦作万方铝业股份有限公司,新材料,高端金属结构材料,7d2b0749f3664e179815ce856631c65b
19,上海宏达新材料股份有限公司,新材料,先进高分子材料,b1af6521f809454cb3ecec87f5c4ae96
19,宝泰隆新材料股份有限公司,新材料,前沿新材料,0645186ece50463ab95e9f6d4130d3cc
19,泰尔重工股份有限公司,新材料,特种金属功能材料,43d5907c372c4bbc9e28d89329e2735c
19,深圳市汇顶科技股份有限公司,新一代信息技术,集成电路,30d5876219f74268b7fdfd8f0ed8185d
19,上海神力科技有限公司,新能源,氢能,14bf59a14d324142b3d9d90d1ebc8921
19,优刻得科技股份有限公司,新一代信息技术,云计算,d804a4d0687b4ffeaca2c44384998d31
19,北京当升材料科技股份有限公司,新材料,新型无机非金属材料,52711eb232724b7babc12a9efceb9e88
20,上海昊海生物科技股份有限公司,新材料,前沿新材料,78ab9b29fcbe4791a14e8c0d4f472181
20,浙江天禄环境科技有限公司,新能源,氢能,1290bacc06f1431092b209eacc94824d
20,许昌远东传动轴股份有限公司,新材料,特种金属功能材料,78de393cbb2b407fa0bd58f51397d45c
20,杭州士兰微电子股份有限公司,新一代信息技术,集成电路,5759b5c625f140f8b0751787d3555935
20,福建省闽发铝业股份有限公司,新材料,高端金属结构材料,dbac204290644a219f8e0da3144b8f9f
20,湘潭电化科技股份有限公司,新材料,新型无机非金属材料,e67b666a35c34e239183490b71ad7ecb
20,深圳市新纶科技股份有限公司,新材料,先进高分子材料,803bbf39272e4f49ba3e35bf74a8b992
21,大唐半导体设计有限公司,新一代信息技术,集成电路,2b5bd75424564d1c899b813a4ffafa8c
22,恩智浦半导体（天津）有限公司,新一代信息技术,集成电路,a2a3a2ab4bf54e7484c3e9e72c0aea4e
23,海太半导体（无锡）有限公司,新一代信息技术,集成电路,be7d9c3a42e547948e94d103de3fb13b
24,上海凯虹科技电子有限公司,新一代信息技术,集成电路,90bbc5de10b9408a9e563827e82e1258
25,安靠封装测试（上海）有限公司,新一代信息技术,集成电路,6c291e838bb44b818585c7e949f46c87
26,晟碟半导体（上海）有限公司,新一代信息技术,集成电路,9917b2a19a1f47d4a3d194d7239b7b0d
27,扬州扬杰电子科技股份有限公司,新一代信息技术,集成电路,3d6f88ecba334743a17bb92f37b91150
