company_name
四川江口醇酒业（集团）有限公司
成都京东方光电科技有限公司
成都中电熊猫显示科技有限公司
成都天马微电子有限公司
业成科技（成都）有限公司
英特尔产品（成都）有限公司
莫仕连接器（成都）有限公司
德州仪器半导体制造（成都）有限公司
成都海威华芯科技有限公司
宇芯（成都）集成电路封装测试有限公司
成都士兰半导体制造有限公司
成都嘉纳海威科技有限责任公司
成都索贝数码科技股份有限公司
成都先进功率半导体股份有限公司
成都雷电微力科技有限公司
成都振芯科技股份有限公司
鸿富锦精密电子（成都）有限公司
戴尔（成都）有限公司
纬创资通（成都）有限公司
仁宝电脑（成都）有限公司
捷普科技（成都）有限公司
成都欧珀移动通信有限公司
TCL王牌电器（成都）有限公司
成都长城开发科技有限公司
成都卫士通信息产业股份有限公司
迈普通信技术股份有限公司
成都极米科技股份有限公司
四川福蓉科技股份公司
成都盟升科技有限公司
四川天邑康和通信股份有限公司
四川新易盛通信技术有限公司
成都三零凯天通信实业有限公司
成都富通光通信技术有限公司
成都天兴山田车用部品有限公司
四川国际航空发动机维修有限公司
四川野马汽车股份有限公司
四川海特高新技术股份有限公司
中航（成都）无人机系统股份有限公司
中电科航空电子有限公司
成都顶益食品有限公司
成都纵横自动化技术股份有限公司
中车成都机车车辆有限公司
成都中车电机有限公司
成都市新筑路桥机械股份有限公司
四川普什宁江机床有限公司
成都瑞迪机械科技有限公司
成都彩虹电器（集团）股份有限公司
成都卡诺普自动化控制技术有限公司
四川一汽丰田汽车有限公司
中国重汽集团成都王牌商用车有限公司
中嘉汽车制造（成都）有限公司
成都吉利汽车制造有限公司
成都市银隆新能源有限公司
成都客车股份有限公司
成都广通汽车有限公司
四川水井坊股份有限公司
四川新绿色药业科技发展有限公司
四川南格尔生物医学股份有限公司
四川科伦药业股份有限公司
成都康弘药业集团股份有限公司
成都百裕制药股份有限公司
成都倍特药业有限公司
中粮（成都）粮油工业有限公司
成都希望食品有限公司
四川新华西乳业有限公司
四川天味食品集团股份有限公司
香飘飘四川食品有限公司
四川中烟工业有限责任公司
都江堰拉法基水泥有限公司
成都南玻玻璃有限公司
明达玻璃（成都）有限公司
通威太阳能（成都）有限公司
中国石油四川石化有限责任公司
成都金发科技新材料有限公司
中蓝晨光化工研究设计院有限公司
四川轮胎橡胶（集团）股份有限公司
四川省达州钢铁集团有限责任公司
东方电气东方汽轮机有限公司
特变电工（德阳）电缆股份有限公司
剑南春集团公司
四川蓝剑饮品集团有限公司
四川省玻纤集团有限公司
四川宏达（集团）有限公司
四川明日宇航工业有限责任公司
中国第二重型机械集团有限公司
四川依科制药有限公司
益海（广汉）粮油饲料有限公司
四川德阳市年丰食品有限公司
信义节能玻璃（四川）有限公司
四川省金路树脂有限公司
四川广安发电有限责任公司
广安诚信化工有限责任公司
广元市林丰铝电有限公司
乐山无线电股份有限公司
四川省峨眉山竹叶青茶业有限公司
四川峨胜水泥集团有限公司
四川德胜集团
四川永祥多晶硅有限责任公司
四川晶科新能源科技有限公司
四川省乐山市福华通达农药科技有限公司
四川和邦生物科技股份有限公司
四川永祥新能源有限公司
泸州老窖股份公司
郎酒集团有限责任公司
信利（仁寿）高端显示科技有限公司
中车眉山车辆有限公司
四川德恩精工科技股份有限公司
四川省惠通食业有限责任公司
四川省吉香居食品有限公司
四川启明星铝业有限责任公司
绵阳京东方光电科技有限公司
绵阳惠科光电科技有限公司
四川旭虹光电科技有限公司
四川长虹电子控股集团有限公司
四川九州电子科技股份有限公司
维谛技术（绵阳）有限公司
四川福德机器人股份有限公司
四川好医生药业集团有限公司
绵阳仙特米业有限公司
利尔化学股份有限公司
巨腾（内江）资讯配件有限公司
四川羽玺新材料股份有限公司
攀钢集团有限公司
舍得酒业股份有限公司
四川高金食品股份有限公司
天齐锂业股份有限公司
遂宁盛新锂业有限公司
四川盛马化工股份有限公司
宜宾市极米光电有限公司
四川朵唯智能云谷有限公司
四川苏格通讯技术有限公司
五粮液集团公司
四川省茶叶集团股份有限公司
宜宾海丰和锐有限公司
中车资阳机车有限公司
四川安井食品有限公司
